"","Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding"
"1","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,21,"Weight method",500751,576322,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100261
"2","Population characteristics > Baseline characteristics",100094,31,"Sex",502413,502413,"Complete","Categorical single","","Data","Primary","Unisex",1,1,9
"3","Population characteristics > Baseline characteristics",100094,34,"Year of birth",502413,502413,"Complete","Integer","years","Data","Primary","Unisex",1,1,NA
"4","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,39,"Height measure device ID",497943,572577,"Complete","Text","","Data","Auxiliary","Unisex",4,1,NA
"5","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,40,"Manual scales device ID",497943,572577,"Complete","Text","","Data","Auxiliary","Unisex",4,1,NA
"6","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,41,"Seating box device ID",497943,572577,"Complete","Text","","Data","Auxiliary","Unisex",4,1,NA
"7","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,44,"Tape measure device ID",497943,572577,"Complete","Text","","Data","Auxiliary","Unisex",4,1,NA
"8","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,48,"Waist circumference",500319,575859,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,NA
"9","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,49,"Hip circumference",500257,575797,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,NA
"10","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,50,"Standing height",499957,575431,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,NA
"11","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,51,"Seated height",497150,571530,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,NA
"12","Population characteristics > Baseline characteristics",100094,52,"Month of birth",502413,502413,"Complete","Categorical single","","Data","Primary","Unisex",1,1,8
"13","Population characteristics > Baseline characteristics",100094,189,"Townsend deprivation index at recruitment",501790,501790,"Complete","Continuous","","Data","Derived","Unisex",1,1,NA
